miRNA_name	SRX1169949	SRX1169948	SRX1169947	SRX1169946	SRX1169945	SRX1169944	SRX1169943	SRX1169942	SRX1169941	SRX1169940	SRX1169929	SRX1169921	SRX1169920	SRX1169923	SRX1169922	SRX1169925	SRX1169924	SRX1169927	SRX1169926	SRX1169958	SRX1169950	SRX1169951	SRX1169952	SRX1169953	SRX1169954	SRX1169955	SRX1169956	SRX1169957	SRX1169938	SRX1169939	SRX1169919	SRX1169932	SRX1169933	SRX1169930	SRX1169936	SRX1169937	SRX1169935
hsa-miR-548k	2	0	3	0	0	13	6	20	10	25	18	48	80	63	62	4	9	116	2	2	9	2	37	31	11	6	11	0	12	0	25	21	16	14	13	24	5	720.0
hsa-miR-199b-3p	2	1	15	2	2	17	5	33	32	27	21	85	22	20	34	10	5	69	2	1	5	2	78	54	20	10	18	0	26	1	16	12	12	11	11	25	7	713.33
hsa-miR-1304-5p	5	10	19	13	3	6	27	33	23	47	7	33	9	16	44	3	5	46	0	17	21	6	63	50	15	16	50	7	26	7	9	6	13	12	9	25	9	710.0
hsa-miR-4755-5p	10	11	19	34	14	21	20	4	34	16	5	36	21	71	39	0	2	30	0	18	14	10	31	10	17	15	6	6	20	2	71	9	10	2	15	24	30	697.0
hsa-miR-616-5p	13	12	24	11	9	26	16	10	27	43	25	23	6	8	13	0	0	14	0	37	16	20	37	14	5	16	20	5	34	10	8	23	43	16	40	39	32	695.0
hsa-miR-3620-3p	24	29	23	23	6	39	25	19	31	31	17	40	24	36	16	0	2	35	2	15	25	5	13	18	14	13	15	2	13	11	46	8	7	4	22	20	21	694.0
hsa-miR-758-3p	0	7	0	0	0	3	8	22	11	9	0	11	19	97	73	23	11	171	0	17	6	14	35	22	5	8	16	0	17	7	22	5	6	3	11	17	16	692.0
hsa-miR-378c	8	7	16	25	11	7	17	19	37	25	27	22	4	2	9	2	0	27	0	19	19	12	136	50	18	15	16	3	14	7	2	16	20	18	26	25	3	676.25
hsa-miR-10527-5p	2	10	16	6	3	8	29	8	11	25	4	50	51	91	41	0	7	50	0	18	14	2	52	31	9	38	22	2	8	0	23	6	10	0	10	5	4	666.0
hsa-miR-627-3p	22	3	6	11	14	12	0	5	39	11	52	18	6	51	17	0	5	91	0	10	2	6	64	17	9	8	8	0	24	7	27	19	21	17	10	33	20	665.0
hsa-miR-6734-3p	0	6	9	9	2	7	32	4	47	22	19	37	34	77	32	0	5	77	0	14	9	7	26	10	7	15	5	2	9	0	17	34	7	22	56	3	3	665.0
hsa-miR-629-3p	9	19	8	14	9	7	38	16	15	25	7	28	44	68	32	0	9	97	0	12	17	0	29	6	10	10	15	4	7	5	30	11	3	9	14	25	8	660.0
hsa-miR-1292-5p	11	13	8	5	4	8	8	10	8	15	2	13	16	142	58	2	5	56	0	14	10	7	37	22	14	16	28	0	16	4	48	5	0	3	11	15	5	639.0
hsa-miR-424-5p	4	6	5	8	0	8	16	33	68	10	47	15	0	0	12	0	0	12	2	4	0	8	60	67	22	11	47	3	13	5	6	24	11	32	50	22	6	637.0
hsa-miR-6749-3p	14	31	12	23	7	18	45	7	37	19	10	23	16	50	19	0	3	43	0	13	18	0	19	16	11	24	7	2	18	3	61	9	2	13	13	14	13	633.0
hsa-miR-505-5p	6	27	48	26	10	23	49	27	23	43	14	6	0	3	0	0	0	4	0	46	15	7	38	30	19	39	31	9	12	3	0	10	8	8	20	10	12	626.0
hsa-miR-3944-5p	77	21	3	12	11	45	13	41	6	33	0	45	8	6	39	9	0	41	3	8	3	2	15	6	21	10	35	0	13	9	38	5	2	4	3	6	28	621.0
hsa-miR-25-5p	13	4	15	7	0	7	7	7	10	20	10	19	29	56	37	0	9	84	2	20	11	2	59	23	15	13	37	0	8	4	56	2	3	5	7	12	7	620.0
hsa-miR-4521	14	17	12	14	4	22	6	19	40	25	6	50	17	13	20	3	3	47	0	11	8	3	59	19	19	13	31	2	13	8	12	9	14	16	12	21	9	611.0
hsa-miR-11400	3	2	3	3	3	7	2	8	8	17	3	76	40	63	38	7	20	192	0	3	5	0	2	13	6	4	4	0	11	0	32	0	5	3	0	4	8	595.0
hsa-miR-1284	32	10	14	15	5	13	21	12	35	35	9	34	12	20	12	2	0	20	0	22	19	8	30	11	16	11	15	2	29	12	8	11	22	10	21	26	20	594.0
hsa-miR-628-3p	15	6	7	8	11	9	32	10	13	72	6	33	8	6	24	2	0	12	0	26	10	5	16	42	29	44	19	0	14	0	4	11	15	12	25	29	7	582.0
hsa-miR-641	5	4	20	16	21	16	7	11	15	22	13	21	50	19	18	2	7	37	0	24	12	10	35	18	16	14	18	2	11	4	6	7	24	20	23	12	14	574.0
hsa-miR-6747-3p	28	25	22	52	15	26	42	19	36	23	4	9	5	26	15	0	2	13	0	19	4	6	14	11	9	12	18	9	13	19	30	8	7	2	12	2	14	571.0
hsa-miR-1229-3p	9	10	9	5	7	12	31	5	23	13	22	18	7	21	10	0	0	74	0	26	17	9	39	23	11	28	22	5	16	2	6	13	11	16	22	17	7	566.0
hsa-miR-3074-5p	20	11	12	16	9	12	8	7	20	20	11	39	14	24	12	4	3	25	0	15	13	12	42	17	8	11	19	2	23	12	29	11	26	0	20	24	10	561.0
hsa-miR-6881-3p	2	12	17	11	3	7	28	6	24	31	15	12	11	61	16	0	2	45	0	22	17	5	10	19	6	29	10	5	15	6	20	31	7	11	21	20	3	560.0
hsa-miR-450a-5p	2	2	11	2	2	6	8	27	52	13	32	29	10	5	18	0	0	31	0	10	2	3	54	43	13	3	36	2	12	2	3	15	17	11	30	19	12	537.0
hsa-miR-370-3p	2	2	2	0	0	0	0	0	5	10	0	2	9	104	116	2	8	125	0	3	7	0	22	19	2	3	2	2	0	0	74	0	0	0	0	5	2	528.0
hsa-miR-6842-3p	12	6	9	14	8	5	24	9	30	15	9	37	7	29	32	2	4	41	0	15	17	5	24	27	10	25	7	9	8	9	12	5	22	2	15	8	13	526.0
hsa-miR-329-3p	0	30	8	2	2	17	21	27	32	18	2	2	0	3	18	7	0	10	0	24	34	5	34	21	10	20	18	5	17	13	6	2	10	2	27	23	36	506.0
hsa-miR-550a-3-5p	3	10	7	8	5	16	19	10	18	17	8	24	22	24	28	0	3	34	2	17	6	1	10	24	16	6	13	3	21	0	44	8	5	6	19	20	7	482.28999999999996
hsa-miR-210-5p	5	10	20	21	8	8	12	2	12	12	25	16	18	46	14	2	0	37	0	7	13	4	14	13	7	12	9	0	17	0	25	17	15	15	29	0	8	473.0
hsa-miR-5094	42	4	9	6	10	15	6	14	20	15	2	29	11	14	14	0	5	47	0	8	15	11	27	10	8	8	6	0	13	15	10	3	10	3	7	22	13	452.0
hsa-miR-5189-3p	9	9	13	20	9	31	5	25	9	15	12	3	13	15	28	0	4	19	0	19	3	0	20	9	0	11	0	11	41	5	20	9	15	5	11	26	0	444.0
hsa-miR-500b-3p	37	22	6	10	11	28	5	15	25	38	2	23	2	12	12	0	0	14	0	15	16	3	20	10	4	0	0	0	14	16	22	3	9	8	16	14	9	440.5
hsa-miR-7975	11	41	17	15	11	45	5	10	20	24	0	2	0	0	3	0	0	5	0	21	15	20	13	22	7	4	2	5	18	7	0	2	2	2	2	66	9	426.0
hsa-let-7f-1-3p	15	2	3	10	3	8	0	7	35	9	5	11	11	13	9	0	5	33	0	11	14	12	20	7	0	21	10	6	19	6	6	15	6	9	27	11	20	399.0
hsa-miR-30c-1-3p	6	2	2	11	4	8	13	10	18	22	3	28	23	30	23	2	2	40	0	9	11	7	22	5	12	8	8	7	5	3	12	11	4	8	6	6	6	397.0
hsa-miR-1273c	7	7	4	8	3	13	5	9	9	11	13	9	13	37	23	0	2	28	0	22	8	12	20	18	6	7	7	4	14	0	10	5	4	5	20	19	12	394.0
hsa-miR-6833-3p	2	11	18	15	10	0	12	12	26	23	12	10	2	7	11	0	0	9	0	9	9	3	30	10	10	12	12	6	15	3	0	17	4	21	32	8	11	392.0
hsa-miR-338-5p	8	3	4	2	7	4	6	20	10	23	2	7	8	13	8	0	0	17	0	15	15	7	26	31	23	8	4	3	26	0	5	11	10	0	16	42	5	389.0
hsa-miR-6501-5p	0	16	4	5	0	7	22	10	18	14	7	22	4	47	29	0	0	55	0	2	0	0	11	20	18	0	2	0	7	4	22	5	4	0	13	4	0	372.0
hsa-miR-548ay-3p	5	2	7	2	2	10	12	15	13	15	16	16	3	6	13	0	0	19	0	15	24	7	32	5	6	12	9	4	14	2	7	0	14	11	17	21	14	370.0
hsa-miR-4707-3p	0	5	10	6	5	4	33	0	7	24	16	10	9	0	0	2	0	38	0	3	0	0	15	32	10	3	4	0	0	0	20	14	21	25	32	12	0	360.0
hsa-miR-7855-5p	8	5	3	7	4	7	13	2	13	7	20	17	4	32	20	0	0	22	0	6	11	3	17	10	14	8	3	0	17	2	15	3	7	13	17	11	16	357.0
hsa-miR-4687-5p	10	16	5	14	7	4	23	13	14	18	15	11	10	10	7	0	2	38	0	5	8	2	14	6	10	6	13	2	12	2	19	10	3	6	9	11	0	355.0
hsa-miR-5581-3p	4	5	4	14	4	17	15	0	19	18	10	11	0	5	6	0	2	17	0	5	4	4	12	6	6	11	11	2	54	3	15	11	12	12	7	16	13	355.0
hsa-miR-323a-3p	3	10	2	0	2	4	18	8	11	12	0	3	5	25	26	0	4	50	0	25	11	10	20	16	2	11	7	7	6	8	20	0	0	3	4	12	8	353.0
hsa-miR-31-5p	0	0	20	2	0	12	25	4	11	5	6	16	2	7	8	0	0	50	0	19	2	0	36	18	2	16	41	2	6	0	8	0	8	7	13	0	2	348.0
hsa-miR-660-3p	15	5	7	26	5	7	12	8	27	9	7	18	0	7	10	0	0	23	0	13	7	10	30	9	2	13	2	2	4	2	5	3	9	15	19	9	2	342.0
hsa-miR-543	2	6	2	0	4	5	14	7	15	19	0	0	0	4	9	0	0	2	0	16	22	3	65	29	4	22	5	6	11	6	9	0	2	0	19	21	7	336.0
hsa-miR-6799-3p	15	14	7	10	8	11	11	6	23	21	14	17	4	6	2	2	0	5	0	5	7	5	13	7	12	10	10	2	23	8	4	8	10	14	6	9	6	335.0
hsa-miR-598-3p	0	2	0	0	0	6	0	2	8	5	6	18	28	62	25	0	2	95	0	6	2	4	4	14	5	0	0	0	4	0	22	6	5	0	0	2	0	333.0
hsa-miR-181c-3p	4	0	4	4	0	4	5	0	6	4	8	22	28	43	10	3	7	67	0	4	4	4	9	7	2	6	6	0	4	0	27	2	4	2	6	17	0	322.5
hsa-miR-4511	8	5	10	4	0	12	13	10	10	11	3	26	21	6	22	0	2	36	0	13	12	5	23	4	2	10	4	0	0	0	4	6	13	5	14	6	0	320.0
hsa-miR-942-3p	9	7	19	8	9	13	16	6	14	17	2	17	6	0	18	0	0	5	0	16	3	12	19	8	5	8	3	5	14	2	3	4	8	4	15	15	9	319.0
hsa-miR-32-5p	0	0	8	0	0	12	0	16	12	8	11	6	12	10	8	0	0	33	0	0	2	0	32	31	14	14	8	0	12	0	9	11	4	7	11	16	9	316.0
hsa-let-7e-5p	1	4	16	7	1	8	26	11	10	8	8	25	10	7	19	7	0	18	0	24	3	1	9	22	7	13	2	3	3	3	8	5	7	1	7	13	4	314.7
hsa-miR-6726-3p	4	0	2	4	2	7	2	5	10	13	4	15	18	54	19	0	4	43	0	3	2	0	6	0	0	9	8	2	6	0	34	6	0	5	4	9	7	307.0
hsa-miR-193a-3p	3	10	10	6	6	11	23	14	21	6	25	12	0	3	3	0	0	10	0	10	2	3	11	7	0	10	7	0	16	2	0	7	13	5	28	2	9	295.0
hsa-miR-491-5p	7	5	4	14	2	17	8	5	20	20	19	4	0	0	2	0	0	5	0	2	11	0	13	13	7	0	3	2	16	3	10	11	11	7	17	17	11	286.0
hsa-miR-1343-3p	0	2	0	12	0	7	15	5	2	12	4	4	14	21	6	0	6	47	0	5	10	3	0	0	4	2	2	5	8	0	32	6	4	5	20	3	17	283.0
hsa-miR-937-3p	2	4	8	0	0	9	9	2	13	13	7	11	12	40	13	2	5	41	0	5	2	3	9	7	2	8	2	3	6	2	11	3	6	2	8	9	2	281.0
hsa-miR-6879-3p	2	7	0	6	0	7	11	3	0	7	7	10	23	49	19	0	0	31	0	0	0	0	7	0	2	2	2	0	5	2	63	0	0	0	7	4	4	280.0
hsa-miR-4659b-3p	4	5	3	9	8	0	4	2	6	8	7	18	25	26	6	0	5	29	0	10	2	2	14	5	0	3	5	2	8	0	33	6	12	3	0	6	5	276.5
hsa-miR-4677-3p	3	2	2	6	3	5	4	4	13	11	10	12	11	8	24	3	0	24	0	9	4	10	17	9	2	4	5	0	11	0	9	6	12	3	6	20	4	276.0
hsa-miR-6861-3p	0	6	14	4	2	2	6	4	13	13	3	21	4	18	8	0	3	29	0	8	12	2	9	13	4	6	0	6	16	0	10	3	11	0	9	5	10	274.0
hsa-miR-6820-3p	10	0	6	14	3	0	14	0	5	5	21	9	0	4	5	0	0	8	2	16	27	8	7	17	5	9	5	2	3	0	0	26	7	4	17	8	6	273.0
hsa-miR-6777-3p	6	28	10	32	7	20	32	0	18	20	2	8	3	9	2	0	0	6	0	0	6	2	0	4	2	6	3	0	8	6	18	0	0	2	2	0	6	268.0
hsa-miR-6793-3p	6	4	4	7	4	3	16	2	16	20	13	11	2	2	12	2	0	8	0	9	10	3	4	9	8	16	7	0	8	3	6	7	7	3	19	2	8	261.0
hsa-miR-548e-3p	6	3	5	0	0	14	6	6	10	9	6	10	4	2	7	3	0	16	0	11	5	8	31	0	5	3	15	0	7	2	0	11	7	5	15	17	9	258.0
hsa-miR-191-3p	0	2	0	2	0	6	0	2	12	9	0	7	11	46	7	0	2	46	0	4	0	0	3	9	2	3	0	0	15	2	47	0	5	2	0	2	11	257.0
hsa-miR-6859-3p	6	7	6	7	5	5	26	0	9	17	5	14	4	18	3	0	0	12	0	6	7	8	10	2	0	7	11	2	11	0	14	2	7	4	6	6	7	254.23999999999998
hsa-miR-6743-3p	2	6	5	3	2	4	9	8	2	4	4	5	9	12	6	0	2	47	0	17	9	4	10	7	0	7	10	0	7	0	13	2	5	4	17	4	8	254.0
hsa-miR-548ac	10	2	8	4	0	2	5	12	11	13	15	18	0	0	13	0	0	4	0	17	5	2	14	10	2	6	0	0	9	0	0	6	12	10	15	19	3	247.0
hsa-miR-1287-5p	0	27	10	2	5	4	0	6	19	5	2	14	19	17	6	0	0	25	0	0	2	2	38	8	10	0	0	0	2	0	11	2	2	0	4	2	0	244.0
hsa-miR-1234-3p	2	2	3	5	0	3	10	2	13	6	2	9	2	14	9	0	0	23	0	9	3	0	14	13	0	11	5	3	9	2	28	10	2	8	6	6	9	243.0
hsa-miR-24-2-5p	3	0	6	2	4	6	5	5	13	8	8	8	0	4	6	0	0	24	0	3	3	3	50	18	9	4	6	0	7	0	3	0	5	9	8	7	4	241.0
hsa-miR-200b-3p	5	2	2	0	0	2	6	14	7	13	0	18	11	14	17	0	3	18	0	6	2	0	17	17	9	9	13	0	9	0	2	0	2	3	5	5	0	231.0
hsa-miR-4728-3p	0	2	0	2	2	0	4	0	2	2	2	9	9	48	13	0	6	91	3	0	0	0	0	0	0	6	2	0	0	0	13	4	2	0	0	0	2	224.0
hsa-miR-6513-5p	2	0	0	2	2	2	5	0	8	2	6	11	6	35	12	0	0	48	0	2	4	0	8	10	7	0	10	3	3	2	20	4	3	0	3	2	0	222.0
hsa-miR-504-5p	13	4	0	2	3	2	7	0	0	2	0	21	2	69	10	0	0	23	0	0	6	4	4	4	0	4	2	0	7	0	20	3	2	4	2	2	0	222.0
hsa-miR-7704	0	0	2	0	0	0	0	0	0	2	4	0	25	66	11	0	3	50	0	6	0	0	2	2	2	3	0	3	5	2	20	0	0	4	2	5	0	219.0
hsa-miR-6786-3p	0	0	3	0	2	2	5	0	5	4	4	2	7	27	8	0	0	23	0	5	0	0	20	6	0	10	0	0	11	0	47	3	0	2	12	5	2	215.0
hsa-miR-11401	0	4	9	8	0	7	0	4	0	9	7	17	0	9	17	0	0	6	0	10	0	8	26	2	16	0	7	0	9	8	5	0	11	0	7	7	2	215.0
hsa-miR-1468-5p	2	5	0	7	0	11	11	5	8	10	6	11	2	25	13	0	2	19	0	8	3	4	4	3	2	2	2	4	14	3	2	2	2	3	5	8	6	214.0
hsa-miR-5695	9	0	2	0	0	10	4	10	10	4	10	13	2	4	6	0	2	6	0	9	7	8	8	2	5	12	11	3	5	0	2	0	10	8	14	12	3	211.0
hsa-miR-6818-3p	10	2	8	4	0	10	3	4	19	11	3	11	5	0	4	2	0	4	0	9	8	8	22	6	0	4	2	5	6	0	0	0	11	10	5	11	3	210.0
hsa-miR-495-3p	4	11	3	0	0	2	12	13	15	10	0	0	0	0	8	4	0	2	0	11	18	4	11	3	2	12	11	0	5	9	0	0	6	2	12	12	8	210.0
hsa-miR-145-3p	0	0	0	0	0	7	2	8	5	8	4	23	4	8	7	0	0	34	0	2	2	0	18	2	3	0	4	0	9	2	0	8	8	0	0	32	9	209.0
hsa-miR-3143	2	0	3	0	0	7	2	14	12	7	0	20	6	9	8	0	0	15	0	5	3	3	21	9	4	4	9	0	4	0	2	0	6	11	6	10	3	205.0
hsa-miR-4454	4	2	3	2	5	14	6	2	6	7	4	13	4	4	6	0	0	8	0	6	4	2	0	3	4	0	0	0	24	0	23	2	8	4	7	11	12	200.0
hsa-miR-3064-3p	4	0	4	7	3	13	4	4	18	4	5	9	4	7	2	0	0	7	0	0	9	4	5	4	0	8	11	0	10	2	8	0	2	8	11	12	4	193.0
hsa-miR-320c	3	4	9	1	1	1	0	2	6	1	2	0	0	9	9	0	1	8	0	30	11	10	42	12	3	6	7	1	1	0	0	1	3	0	7	1	1	188.52999999999997
hsa-miR-181d-5p	2	3	2	0	0	0	4	0	12	12	0	8	4	20	12	0	0	24	0	4	2	2	9	26	9	2	3	0	0	0	0	6	7	0	5	4	5	187.0
hsa-miR-1273h-3p	2	0	2	0	0	0	0	0	4	9	0	13	22	28	16	0	4	20	0	4	4	0	6	4	2	2	2	0	7	0	22	0	0	2	0	4	7	186.0
hsa-miR-3158-5p	3	0	2	5	5	12	0	7	3	3	3	6	8	6	2	0	0	14	0	2	3	0	3	4	4	0	11	0	12	6	28	2	8	2	3	11	8	186.0
hsa-miR-589-3p	6	8	10	4	5	9	14	12	4	7	5	0	4	0	0	0	0	0	0	17	4	0	9	7	2	7	4	3	2	0	2	8	5	5	15	3	4	185.0
hsa-miR-1275	3	5	16	0	0	6	7	0	7	9	2	9	4	6	8	0	3	17	0	16	3	2	3	4	0	15	0	3	4	0	10	0	5	4	6	3	3	183.0
hsa-miR-433-3p	0	4	0	0	0	0	0	5	3	5	0	3	2	30	21	0	3	37	0	3	4	0	2	10	0	18	5	0	8	0	15	2	0	0	0	0	3	183.0
hsa-miR-582-5p	0	0	3	3	0	3	4	3	5	3	4	4	2	12	8	2	2	54	0	0	0	4	20	8	7	0	2	0	4	0	8	2	4	0	5	7	0	183.0
hsa-miR-18b-5p	0	0	1	0	0	6	7	8	8	3	9	17	2	1	12	0	0	19	0	0	0	0	35	19	5	0	4	0	0	0	1	3	5	5	5	8	0	181.5
hsa-miR-2277-5p	2	0	0	2	0	2	0	0	0	6	7	16	14	24	8	0	0	37	2	4	3	0	18	7	3	0	2	0	6	0	7	0	0	5	3	2	0	180.0
hsa-miR-224-5p	2	2	0	2	0	7	5	15	5	9	4	13	2	4	9	0	0	0	0	0	2	4	24	30	0	9	4	3	9	0	0	0	0	0	0	14	0	178.0
hsa-miR-4646-3p	0	2	5	3	0	4	16	7	5	20	5	8	0	8	10	0	0	20	0	6	0	0	7	3	3	6	2	2	2	2	7	4	2	4	12	2	0	177.0
hsa-miR-411-3p	0	0	0	0	0	5	2	11	4	5	0	12	8	32	20	0	4	30	0	2	5	2	5	2	4	2	0	0	2	0	5	0	0	2	2	6	2	174.0
hsa-miR-627-5p	2	3	0	2	0	3	0	8	14	3	6	2	0	2	2	0	2	5	0	0	2	2	19	27	0	2	50	0	4	3	0	0	4	2	0	0	3	172.0
hsa-miR-548j-5p	0	0	8	3	0	0	9	4	4	7	0	14	12	21	10	0	4	17	0	2	0	2	7	10	4	8	0	0	5	0	6	2	7	3	0	2	0	171.0
hsa-miR-106a-3p	0	0	2	0	0	2	0	0	6	2	10	10	4	5	4	0	0	37	0	0	0	0	30	11	0	0	3	0	7	0	0	3	4	4	8	9	6	167.0
hsa-miR-4433a-5p	0	9	11	4	0	3	6	7	7	20	0	4	6	7	11	0	0	10	0	0	2	2	0	0	5	11	0	0	9	3	3	0	0	8	3	15	0	166.0
hsa-miR-1307-5p	0	0	4	2	0	0	0	5	4	2	0	11	2	36	12	0	2	22	0	2	0	4	8	0	2	6	0	0	0	0	24	0	0	0	5	9	0	162.0
hsa-miR-377-5p	0	2	0	0	0	0	0	3	0	4	0	0	9	38	11	0	0	27	0	3	3	6	9	3	0	2	5	0	3	7	22	0	0	0	0	4	0	161.0
hsa-miR-664a-5p	2	2	7	2	2	4	16	7	6	18	0	6	0	0	2	0	0	0	0	4	0	0	13	14	7	0	22	0	3	0	0	2	5	2	6	7	0	159.0
hsa-miR-3163	0	2	4	0	5	2	0	8	0	11	2	16	2	0	13	2	0	0	0	7	6	2	12	13	6	6	5	3	5	0	2	3	6	4	3	6	2	158.0
hsa-miR-5690	4	2	0	10	2	2	5	4	13	8	6	0	0	0	0	0	0	0	0	13	9	5	6	9	4	6	4	0	9	0	2	5	4	4	8	2	6	152.0
hsa-miR-223-5p	0	0	4	0	0	2	2	3	6	19	2	18	14	6	2	0	0	10	0	0	0	0	29	12	0	4	4	0	2	0	4	0	0	0	0	9	0	152.0
hsa-miR-3140-5p	7	3	10	9	2	10	0	7	7	11	6	0	0	0	2	0	0	5	0	12	2	4	4	3	2	2	7	0	7	0	3	0	5	4	3	11	2	150.0
hsa-miR-320d	3	1	1	1	0	1	0	1	1	0	0	2	10	49	7	0	5	19	0	13	0	0	10	5	3	1	1	0	3	0	15	0	0	0	0	1	1	149.70000000000002
hsa-miR-548at-5p	2	6	2	0	0	2	0	7	8	2	5	9	0	0	19	0	3	38	0	3	2	0	7	7	9	0	0	0	3	0	5	0	0	2	0	2	6	149.0
hsa-miR-20b-3p	0	3	7	2	2	4	4	3	2	8	0	0	0	0	0	0	0	8	0	3	0	5	12	8	3	5	7	0	8	4	0	5	9	7	11	15	3	148.0
hsa-miR-502-5p	0	0	2	4	0	2	2	10	2	5	4	7	4	16	2	0	0	19	0	10	2	2	8	6	3	0	0	0	0	0	10	2	5	4	10	2	4	147.0
hsa-miR-3913-5p	0	2	0	0	0	0	0	0	2	5	3	4	13	41	12	0	0	47	0	0	0	0	7	2	0	2	0	0	0	0	0	0	2	0	2	0	0	144.0
hsa-miR-642a-5p	0	2	4	11	2	2	2	3	2	2	2	6	0	0	0	0	0	10	0	20	0	4	11	4	5	13	7	0	2	0	6	4	8	2	0	2	6	142.0
hsa-miR-744-3p	0	0	2	0	2	0	2	2	13	4	3	8	3	8	5	0	3	27	0	3	3	4	8	0	3	2	2	0	5	0	2	0	7	4	6	2	8	141.0
hsa-miR-548l	0	0	2	0	0	2	0	2	6	11	5	18	12	5	10	0	0	19	0	0	0	0	9	5	5	2	0	0	4	0	2	0	5	2	6	6	0	138.0
hsa-miR-6782-3p	2	0	0	2	3	2	5	0	4	4	0	13	4	27	4	0	0	27	0	2	2	3	0	0	3	2	2	0	4	0	9	0	0	2	7	3	0	136.0
hsa-miR-610	2	0	2	0	0	4	4	2	2	2	0	7	5	15	7	0	2	34	0	2	0	0	13	4	13	0	0	0	0	0	9	0	0	0	0	6	0	135.0
hsa-miR-3157-3p	0	0	3	6	3	3	4	4	2	4	6	9	2	20	6	0	2	4	0	10	0	0	0	2	2	4	3	0	6	0	9	2	3	5	7	4	0	135.0
hsa-miR-182-3p	0	0	0	0	0	0	0	6	0	0	0	14	3	18	10	0	0	34	0	0	0	4	15	5	0	0	3	0	2	0	13	0	3	0	2	2	0	134.0
hsa-miR-132-5p	3	0	4	4	0	6	4	9	9	10	0	2	4	15	8	0	0	11	0	2	4	2	7	5	0	0	0	0	7	0	3	2	2	3	0	8	0	134.0
hsa-miR-6766-3p	0	0	4	4	4	4	3	2	7	2	9	2	0	13	8	0	2	14	0	0	4	2	7	0	2	3	2	0	2	4	7	8	0	3	7	4	0	133.0
hsa-miR-6783-3p	3	0	2	4	3	0	2	2	2	4	0	4	0	20	13	2	0	25	0	2	0	2	4	3	0	8	0	2	0	0	11	2	6	0	4	0	2	132.0
hsa-miR-451b	7	2	8	0	3	5	0	2	6	9	2	8	0	4	0	0	0	9	0	5	0	0	3	3	0	0	2	0	7	2	0	4	3	2	11	7	14	128.0
hsa-miR-203a-3p	0	0	2	0	2	2	0	0	4	0	0	2	7	34	4	0	0	55	0	0	0	0	0	2	0	5	0	0	2	0	0	0	0	0	0	6	0	127.0
hsa-miR-6509-3p	0	4	0	7	2	4	4	2	7	15	16	3	0	0	3	0	0	0	0	5	2	0	9	7	2	2	2	2	3	2	2	7	2	2	2	3	3	124.0
hsa-miR-3690	3	0	5	10	2	0	0	4	6	0	0	11	0	0	0	0	0	0	0	3	3	6	2	4	2	26	0	0	2	0	0	0	0	2	2	29	0	122.0
hsa-miR-6775-3p	6	6	0	10	0	0	13	0	14	4	0	3	0	2	2	0	0	4	0	6	2	8	5	2	4	2	2	3	6	0	0	3	4	0	0	3	3	117.0
hsa-miR-6894-3p	7	0	4	0	0	2	13	0	5	5	0	2	2	5	2	0	0	2	0	0	0	0	18	5	7	14	7	0	0	5	0	0	2	5	4	0	0	116.0
hsa-miR-3157-5p	0	2	2	0	0	2	5	2	8	7	4	3	2	6	2	0	0	3	0	5	4	0	17	9	0	4	8	0	3	0	5	0	2	2	2	4	2	115.0
hsa-miR-150-3p	0	0	2	0	0	2	0	0	2	6	0	2	7	11	9	0	0	22	0	7	0	2	2	2	13	6	2	5	0	0	6	0	2	0	0	2	2	114.0
hsa-miR-597-3p	2	2	3	2	0	3	6	5	11	11	6	3	0	4	4	2	0	10	0	8	3	0	7	4	0	2	0	2	3	0	3	0	0	0	2	0	2	110.0
hsa-miR-487b-3p	0	0	3	0	0	0	2	14	8	6	0	0	0	0	2	0	0	4	0	10	4	0	18	16	2	3	4	0	0	0	2	0	2	0	0	4	5	109.0
hsa-miR-5006-3p	2	4	3	9	0	2	0	0	6	12	10	4	0	0	4	0	0	2	0	6	7	0	6	0	2	2	0	0	12	3	0	0	0	2	3	3	3	107.0
hsa-miR-4473	0	2	0	0	0	4	2	0	6	7	0	10	0	2	10	0	0	11	0	0	7	0	2	0	0	6	0	2	7	0	0	0	5	4	7	4	9	107.0
hsa-miR-6816-3p	0	0	0	0	0	0	0	0	6	2	0	3	4	18	4	0	0	23	0	0	0	0	0	0	0	0	0	0	3	2	34	0	0	0	0	2	2	103.0
hsa-miR-4772-3p	8	0	0	0	3	9	0	9	4	2	0	2	0	0	4	0	0	0	0	0	0	0	9	5	2	0	2	0	8	9	3	2	0	2	4	7	6	100.0
hsa-miR-877-3p	0	2	2	5	0	2	6	4	7	0	7	2	2	3	0	0	0	17	0	5	4	0	0	4	2	2	2	0	4	0	4	2	0	8	2	0	2	100.0
hsa-miR-369-5p	3	6	0	0	0	0	3	9	6	6	0	2	0	3	2	2	0	4	0	4	3	3	9	5	2	2	5	0	4	0	0	2	0	0	5	7	2	99.0
hsa-miR-4485-3p	0	0	0	0	0	4	9	38	0	2	0	17	2	8	2	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	98.0
hsa-miR-362-3p	0	0	0	0	0	3	0	2	6	5	3	0	0	0	0	0	0	4	0	3	0	0	19	5	4	13	3	0	4	0	0	0	7	2	5	3	5	96.0
