name	SRX2742138	SRX2742139	SRX2742130	SRX2742131	SRX2742132	SRX2742133	SRX2742134	SRX2742135	SRX2742136	SRX2742137	SRX2742158	SRX2742159	SRX2742152	SRX2742153	SRX2742150	SRX2742151	SRX2742156	SRX2742157	SRX2742154	SRX2742155	SRX2742129	SRX2742128	SRX2742127	SRX2742126	SRX2742125	SRX2742124	SRX2742123	SRX2742122	SRX2742149	SRX2742148	SRX2742161	SRX2742160	SRX2742166	SRX2742165	SRX2742164	SRX2742141	SRX2742140	SRX2742143	SRX2742142	SRX2742145	SRX2742144	SRX2742147	SRX2742146	SRX2742163	SRX2742162
hsa-miR-132-3p	8	5	6	8	0	16	2	6	9	8	14	17	9	5	32	25	16	19	16	27	0	0	0	0	0	0	0	0	19	23	39	26	19	28	23	54	17	10	6	23	3	4	8	15	29	594.0
hsa-miR-450a-5p	6	4	2	0	0	2	2	7	10	20	22	33	8	7	45	26	25	20	7	7	0	0	0	0	0	0	0	0	4	45	29	12	21	2	18	9	10	13	17	34	6	0	9	29	77	588.0
hsa-miR-6818-3p	13	22	0	6	5	10	5	3	0	24	30	43	2	19	42	39	49	5	29	10	0	0	0	0	0	0	0	0	7	32	7	8	17	12	30	26	7	8	5	17	5	9	8	11	17	582.0
hsa-miR-1294	4	0	0	24	2	6	21	4	9	2	3	6	24	13	20	44	10	4	40	39	0	0	0	0	0	0	0	0	14	21	21	14	33	8	29	54	18	0	8	44	0	0	2	19	12	572.0
hsa-miR-1976	2	4	0	2	13	5	2	3	4	7	16	15	34	16	37	31	17	25	37	43	0	0	0	0	0	0	0	0	13	16	25	15	20	15	11	37	35	4	7	8	0	0	11	9	24	563.0
hsa-miR-3909	0	12	4	5	0	2	2	2	16	9	17	24	12	23	17	19	22	5	74	2	0	0	0	0	0	0	0	0	27	25	5	4	25	27	33	55	9	15	3	2	0	2	2	13	34	548.0
hsa-miR-215-5p	14	14	9	4	0	3	0	4	1	8	42	60	14	14	15	23	17	22	29	3	0	0	0	0	0	0	0	0	14	32	19	5	6	20	8	5	2	10	16	7	6	7	3	19	65	536.5
hsa-miR-494-3p	15	11	9	0	0	16	0	6	4	33	50	44	8	6	0	3	5	4	69	14	0	0	0	0	0	0	0	0	11	18	6	0	7	90	15	27	7	8	10	7	2	3	5	11	6	530.0
hsa-miR-501-5p	8	4	2	8	6	15	12	10	10	17	9	11	6	2	13	12	19	8	41	29	0	0	0	0	0	0	0	0	11	21	52	15	21	17	32	24	27	0	15	13	0	0	0	19	12	521.0
hsa-miR-3200-5p	28	18	2	0	0	15	5	3	5	19	16	19	16	7	30	23	5	21	27	6	0	0	0	0	0	0	0	0	9	12	69	22	13	15	16	19	5	4	13	4	2	3	0	26	19	516.0
hsa-miR-1292-5p	0	5	2	2	6	4	7	3	10	5	5	4	16	13	20	44	5	21	39	30	0	0	0	0	0	0	0	0	3	10	13	12	36	28	18	36	28	4	7	25	5	2	5	30	8	511.0
hsa-miR-146b-3p	4	14	2	9	0	10	0	3	5	15	18	26	8	32	13	25	6	13	29	19	0	0	0	0	0	0	0	0	28	34	25	8	7	23	11	24	14	2	6	10	6	6	0	25	27	507.0
hsa-miR-11401	9	0	0	4	0	5	0	0	10	38	18	25	12	11	21	27	11	11	21	16	0	0	0	0	0	0	0	0	10	0	20	0	61	35	32	32	11	0	10	5	2	13	7	0	27	504.0
hsa-miR-4755-5p	2	14	0	4	2	5	4	2	12	12	12	15	8	16	15	15	26	8	61	0	0	0	0	0	0	0	0	0	31	14	11	6	21	30	18	90	7	2	3	9	0	5	0	14	9	503.0
hsa-miR-3613-5p	11	3	0	0	0	0	4	6	0	19	3	4	4	6	43	38	48	9	0	2	0	0	0	0	0	0	0	0	0	42	18	10	6	6	126	2	4	0	12	26	0	4	18	24	4	502.0
hsa-miR-29c-3p	9	3	4	2	0	6	2	7	2	12	21	38	15	3	41	32	17	14	13	5	0	0	0	0	0	0	0	0	4	35	32	7	0	14	22	9	0	2	19	15	2	2	3	29	43	481.0300000000001
hsa-miR-543	8	8	7	2	5	0	0	0	8	38	40	34	5	5	2	3	8	5	44	14	0	0	0	0	0	0	0	0	6	11	3	12	18	45	15	47	30	12	2	12	0	2	8	2	19	480.0
hsa-miR-365b-3p	6	13	2	6	2	10	9	13	3	11	12	10	2	12	19	23	18	22	40	11	0	0	0	0	0	0	0	0	27	18	15	10	16	26	15	27	4	5	15	7	3	11	2	27	7	470.0
hsa-miR-365a-3p	6	13	2	6	2	10	9	13	3	11	12	10	2	12	19	23	18	22	40	11	0	0	0	0	0	0	0	0	27	18	15	10	16	26	15	27	4	5	15	7	3	11	2	27	7	470.0
hsa-miR-5001-3p	9	7	0	4	2	3	0	2	6	6	20	37	8	7	26	23	14	7	67	18	0	0	0	0	0	0	0	0	2	7	21	13	16	7	14	28	24	0	6	15	5	2	0	12	31	469.0
hsa-miR-485-3p	2	8	2	0	7	7	0	5	4	19	21	24	4	6	4	9	5	19	59	40	0	0	0	0	0	0	0	0	7	10	10	6	10	72	11	22	38	5	0	8	3	0	6	7	4	464.0
hsa-miR-199a-3p	9	5	0	6	0	7	0	5	0	14	13	22	2	1	19	12	12	3	1	4	0	0	0	0	0	0	0	0	13	29	40	13	3	26	57	13	3	4	3	17	2	0	10	26	59	456.06000000000006
hsa-miR-1304-5p	2	2	0	12	5	5	4	5	8	11	17	9	11	10	10	21	15	6	15	21	0	0	0	0	0	0	0	0	17	19	23	10	18	13	15	48	10	0	18	15	0	0	0	43	15	453.0
hsa-miR-654-3p	10	2	2	7	0	4	0	7	0	34	48	50	3	9	0	3	7	6	42	9	0	0	0	0	0	0	0	0	3	11	2	2	4	82	10	34	15	11	2	5	0	0	6	0	11	441.0
hsa-miR-1271-5p	2	12	4	3	0	0	0	2	6	15	30	41	5	7	21	16	11	5	40	12	0	0	0	0	0	0	0	0	10	22	14	6	12	21	13	26	11	7	2	6	0	4	0	10	21	417.0
hsa-miR-223-5p	7	0	0	4	2	0	7	5	0	10	6	7	6	2	32	23	9	14	2	8	0	0	0	0	0	0	0	0	11	20	35	23	4	9	46	23	11	0	9	17	0	0	6	36	17	411.0
hsa-miR-335-5p	8	18	0	2	0	4	2	14	2	13	28	68	12	17	13	2	9	15	20	5	0	0	0	0	0	0	0	0	13	17	18	5	0	7	9	0	2	3	10	6	3	5	2	13	42	407.0
hsa-miR-7704	0	2	0	0	2	2	0	0	10	6	16	16	21	15	13	16	16	43	14	33	0	0	0	0	0	0	0	0	20	26	15	18	18	23	11	10	4	0	2	7	0	0	2	10	9	400.0
hsa-miR-1301-3p	0	10	0	7	0	4	6	0	8	6	5	9	6	16	12	30	6	21	23	16	0	0	0	0	0	0	0	0	7	26	25	5	21	35	8	21	6	0	7	8	2	0	0	30	8	394.0
hsa-miR-1287-5p	5	0	0	2	0	0	3	0	37	0	6	13	14	0	30	10	14	0	22	13	0	0	0	0	0	0	0	0	5	7	24	10	86	11	8	30	10	0	3	5	0	0	2	10	12	392.0
hsa-miR-10527-5p	4	6	0	3	2	3	2	0	11	11	6	14	23	11	13	21	7	23	17	16	0	0	0	0	0	0	0	0	15	16	25	13	22	13	14	23	2	2	0	10	2	0	2	8	17	377.0
hsa-miR-500a-5p	6	11	4	3	0	8	10	5	4	22	6	9	1	5	10	12	11	9	19	3	0	0	0	0	0	0	0	0	9	11	17	4	17	9	36	15	0	2	13	9	2	15	3	59	8	376.5
hsa-miR-6833-3p	6	3	2	2	2	11	8	0	11	6	7	7	6	8	26	31	17	16	27	29	0	0	0	0	0	0	0	0	8	11	9	11	20	5	9	25	16	6	3	9	0	2	7	3	5	374.0
hsa-miR-5189-3p	5	3	3	8	0	0	8	2	2	12	2	11	11	24	23	14	19	4	21	19	0	0	0	0	0	0	0	0	6	41	15	7	3	33	29	0	6	5	5	9	5	0	0	6	12	373.0
hsa-miR-196b-5p	0	2	0	2	0	0	6	5	4	9	14	8	12	0	15	10	14	12	0	9	0	0	0	0	0	0	0	0	11	31	18	10	7	13	60	16	9	0	11	11	0	0	4	28	15	366.0
hsa-miR-3613-3p	5	8	0	3	3	10	3	7	0	7	5	8	5	8	22	8	3	22	51	2	0	0	0	0	0	0	0	0	22	22	14	3	3	29	13	19	5	5	13	5	2	6	0	15	4	360.0
hsa-miR-205-5p	0	0	0	0	0	0	0	0	0	0	2	36	29	7	27	19	23	13	25	13	0	0	0	0	0	0	0	0	8	14	22	15	22	17	28	0	0	0	0	0	0	0	0	9	26	355.0
hsa-miR-6741-3p	4	3	0	4	6	0	3	0	14	2	10	10	16	9	36	24	17	15	31	24	0	0	0	0	0	0	0	0	8	12	5	9	13	2	15	11	5	6	2	20	0	0	9	6	2	353.0
hsa-miR-11400	5	9	0	0	0	6	0	0	0	8	24	39	9	10	6	6	13	5	15	4	0	0	0	0	0	0	0	0	15	12	23	11	11	17	19	16	8	3	2	5	0	4	4	12	30	351.0
hsa-miR-660-3p	2	10	0	6	2	10	0	0	7	10	19	41	5	2	9	6	3	4	24	9	0	0	0	0	0	0	0	0	5	9	15	5	13	8	9	27	14	5	14	9	0	3	0	29	8	342.0
hsa-miR-1234-3p	0	0	0	2	0	13	12	2	3	3	11	5	11	22	20	15	10	15	26	5	0	0	0	0	0	0	0	0	7	22	9	6	11	29	5	11	2	7	9	11	0	7	2	17	5	335.0
hsa-miR-7977	0	8	0	0	0	2	4	3	0	6	15	20	10	16	9	13	10	11	38	10	0	0	0	0	0	0	0	0	15	23	17	3	13	27	7	19	0	0	2	4	0	5	0	10	15	335.0
hsa-miR-548ay-3p	11	4	2	5	0	11	2	3	3	17	14	7	4	8	17	10	22	9	27	7	0	0	0	0	0	0	0	0	18	24	3	8	0	6	21	12	0	4	3	8	0	9	0	14	20	333.0
hsa-miR-584-3p	2	12	0	5	2	9	11	12	3	5	7	5	8	11	8	26	8	5	13	9	0	0	0	0	0	0	0	0	18	15	12	9	9	11	5	27	11	2	14	4	0	5	0	27	3	333.0
hsa-miR-200b-3p	0	0	0	0	2	2	0	0	0	4	10	29	23	11	18	21	16	14	23	12	0	0	0	0	0	0	0	0	11	10	18	6	17	5	30	8	0	4	0	0	0	0	0	13	24	331.0
hsa-miR-625-5p	2	0	2	7	0	3	3	5	9	4	4	17	2	8	7	20	12	2	34	18	0	0	0	0	0	0	0	0	2	34	12	0	27	11	13	18	8	4	5	14	0	0	4	8	5	324.0
hsa-miR-550a-3-5p	5	9	1	6	0	0	1	1	9	7	8	8	4	4	2	14	3	12	28	7	0	0	0	0	0	0	0	0	17	24	9	3	27	27	10	24	5	6	7	8	0	1	1	18	6	320.75000000000006
hsa-miR-548e-3p	6	4	0	2	0	7	3	7	0	6	20	31	7	8	18	5	9	16	11	5	0	0	0	0	0	0	0	0	2	28	15	7	2	16	9	0	0	2	11	4	6	6	4	14	29	320.0
hsa-miR-331-5p	3	2	0	3	0	2	0	0	4	6	2	7	6	0	10	31	3	2	11	14	0	0	0	0	0	0	0	0	10	21	23	13	8	13	30	25	9	0	10	8	0	0	6	28	9	319.0
hsa-miR-6734-3p	4	2	0	2	2	8	6	3	2	6	16	11	3	11	13	17	9	14	36	24	0	0	0	0	0	0	0	0	7	8	11	2	15	17	12	5	14	4	2	4	0	4	4	6	11	315.0
hsa-miR-190a-5p	16	0	0	0	0	2	2	5	0	8	9	19	2	0	28	11	13	20	0	2	0	0	0	0	0	0	0	0	2	15	28	2	0	0	36	0	14	2	7	20	0	4	4	14	28	313.0
hsa-miR-25-5p	0	0	0	2	2	2	0	0	7	6	6	10	16	10	4	20	3	10	40	17	0	0	0	0	0	0	0	0	7	8	16	3	25	24	6	14	14	5	2	14	0	0	0	13	7	313.0
hsa-miR-210-5p	2	2	2	3	0	0	5	3	2	3	7	4	4	21	15	17	19	15	22	14	0	0	0	0	0	0	0	0	3	11	11	5	9	20	7	19	6	0	5	5	0	10	0	27	3	301.0
hsa-miR-5690	10	3	2	3	0	5	2	4	0	16	8	13	0	25	17	7	10	12	13	2	0	0	0	0	0	0	0	0	6	17	7	2	9	14	10	19	2	2	0	3	0	7	0	39	11	300.0
hsa-miR-4707-3p	0	4	3	4	0	0	8	0	2	11	5	7	0	0	4	39	8	0	75	26	0	0	0	0	0	0	0	0	7	0	7	8	8	16	4	4	28	4	0	4	3	0	0	9	2	300.0
hsa-miR-1343-3p	5	0	0	0	0	2	2	5	6	4	7	10	12	10	18	14	14	10	34	7	0	0	0	0	0	0	0	0	0	25	11	13	32	13	5	12	0	4	2	4	0	3	5	3	3	295.0
hsa-miR-1468-5p	3	6	2	0	0	6	0	2	5	2	13	10	4	5	22	16	8	10	19	11	0	0	0	0	0	0	0	0	5	5	11	4	9	5	7	52	14	0	0	6	4	0	0	7	17	290.0
hsa-miR-500b-5p	6	7	4	3	0	5	6	2	4	10	6	9	1	5	10	8	11	6	13	3	0	0	0	0	0	0	0	0	7	9	15	4	9	6	29	13	0	0	10	7	2	10	3	44	6	282.5
hsa-miR-4659b-3p	0	8	1	1	0	2	0	0	2	6	11	22	0	6	19	4	15	2	16	2	0	0	0	0	0	0	0	0	13	20	7	4	6	4	7	56	3	3	2	13	1	2	2	12	11	277.5
hsa-miR-579-5p	3	4	3	2	2	2	4	0	2	9	5	8	2	3	16	15	6	5	23	13	0	0	0	0	0	0	0	0	8	6	15	11	8	4	25	22	10	0	3	7	0	3	3	15	8	275.0
hsa-miR-937-3p	0	0	0	0	2	2	2	2	8	3	2	11	12	7	30	12	16	16	21	25	0	0	0	0	0	0	0	0	5	7	5	3	11	6	4	11	20	2	2	7	0	0	0	12	7	273.0
hsa-miR-627-3p	3	0	2	3	0	2	0	0	15	6	10	16	3	5	17	13	15	6	20	0	0	0	0	0	0	0	0	0	6	7	11	5	17	5	7	37	4	6	0	9	2	2	0	6	12	272.0
hsa-miR-1291	0	9	0	0	2	0	0	0	2	3	6	19	12	0	4	7	5	29	22	49	0	0	0	0	0	0	0	0	2	0	36	14	7	2	0	14	12	0	5	2	0	2	0	0	6	271.0
hsa-miR-5695	2	11	2	3	0	3	0	12	0	6	11	19	8	8	14	8	13	15	32	0	0	0	0	0	0	0	0	0	8	16	5	0	0	13	7	3	2	6	5	6	0	2	2	12	15	269.0
hsa-miR-548k	13	2	0	4	0	2	0	3	5	6	0	6	5	3	10	8	6	3	0	7	0	0	0	0	0	0	0	0	8	7	16	10	3	13	28	12	3	0	9	9	0	4	3	40	14	262.0
hsa-miR-183-3p	3	4	3	0	0	5	0	2	6	8	3	5	7	7	11	15	15	0	10	9	0	0	0	0	0	0	0	0	11	19	24	0	14	13	9	14	8	3	6	0	0	3	0	18	7	262.0
hsa-miR-323a-3p	7	2	5	0	0	5	0	0	0	9	19	24	3	3	0	2	0	4	36	19	0	0	0	0	0	0	0	0	3	8	5	4	0	36	13	15	16	8	0	3	0	0	0	0	6	255.0
hsa-miR-32-5p	4	0	0	0	0	0	0	9	0	6	2	5	2	0	38	13	16	2	0	2	0	0	0	0	0	0	0	0	5	12	8	2	0	6	74	0	0	0	2	0	0	0	5	23	17	253.0
hsa-miR-221-5p	9	2	0	3	0	2	0	0	0	16	5	11	7	5	9	13	9	6	7	4	0	0	0	0	0	0	0	0	14	10	17	4	10	10	18	9	2	2	4	2	2	0	3	26	12	253.0
hsa-miR-6881-3p	0	3	0	2	2	6	0	2	10	3	6	6	3	10	30	16	5	7	28	10	0	0	0	0	0	0	0	0	4	6	8	4	12	5	4	15	3	0	5	3	2	6	4	11	6	247.0
hsa-miR-1273c	3	3	5	0	0	0	0	3	0	7	5	12	9	4	7	20	12	2	29	8	0	0	0	0	0	0	0	0	9	4	5	6	8	11	13	19	7	0	2	7	0	2	0	12	7	241.0
hsa-miR-4286	2	5	2	2	0	9	0	0	0	7	15	14	5	0	7	5	0	11	38	12	0	0	0	0	0	0	0	0	9	6	10	5	0	21	6	16	4	2	5	4	0	2	0	12	3	239.0
hsa-miR-505-5p	0	5	0	4	0	4	5	0	14	2	0	3	6	16	2	26	0	7	19	5	0	0	0	0	0	0	0	0	16	12	4	2	12	23	2	28	2	0	6	3	0	0	0	11	0	239.0
hsa-miR-21-3p	6	6	3	2	0	3	2	0	3	6	9	15	6	2	13	14	6	5	25	7	0	0	0	0	0	0	0	0	3	5	9	9	8	8	11	4	2	0	8	2	2	0	0	15	13	232.0
hsa-miR-1273h-3p	2	7	4	2	0	2	4	2	0	4	7	6	0	26	2	9	4	7	26	3	0	0	0	0	0	0	0	0	10	5	8	6	11	18	8	24	2	2	2	4	0	0	0	5	9	231.0
hsa-miR-199b-3p	5	3	0	3	0	4	0	2	0	7	6	11	1	1	10	6	6	2	1	2	0	0	0	0	0	0	0	0	7	14	20	7	2	13	29	7	2	2	1	8	1	0	5	13	30	228.03000000000003
hsa-miR-1248	2	8	0	2	2	0	0	0	5	2	4	7	10	0	6	3	0	21	19	41	0	0	0	0	0	0	0	0	4	2	26	16	7	2	2	16	15	0	0	0	0	0	0	0	6	228.0
hsa-miR-504-5p	4	14	0	0	0	7	3	2	0	16	2	21	7	56	6	5	8	12	18	0	0	0	0	0	0	0	0	0	7	4	8	4	3	0	0	2	0	0	0	10	0	0	0	3	4	226.0
hsa-miR-641	0	6	0	0	0	2	0	2	0	31	17	20	0	2	2	3	2	2	32	0	0	0	0	0	0	0	0	0	9	7	0	0	7	24	9	11	0	0	2	0	0	2	0	18	16	226.0
hsa-miR-424-5p	6	0	0	0	0	5	2	3	2	7	11	12	9	0	24	7	17	4	0	3	0	0	0	0	0	0	0	0	3	8	12	4	0	0	8	2	0	0	4	10	2	0	0	15	37	217.0
hsa-miR-6802-3p	0	2	0	0	2	2	4	2	3	3	5	2	4	4	18	12	8	7	40	7	0	0	0	0	0	0	0	0	7	4	9	2	7	4	2	26	4	0	6	7	0	2	0	7	0	212.0
hsa-miR-433-3p	0	3	4	0	4	2	0	0	0	6	8	16	3	6	0	2	0	6	15	31	0	0	0	0	0	0	0	0	0	3	4	0	0	31	4	23	22	2	0	6	2	0	0	2	5	210.0
hsa-miR-10b-5p	7	13	4	6	0	3	0	0	0	8	8	14	7	5	3	6	2	0	21	2	0	0	0	0	0	0	0	0	7	6	4	2	0	5	12	15	9	3	4	22	0	4	0	2	6	210.0
hsa-miR-1275	0	7	2	0	0	0	0	0	6	7	3	5	20	11	0	16	5	19	11	7	0	0	0	0	0	0	0	0	14	18	4	3	18	8	0	10	2	2	0	4	0	0	0	5	2	209.0
hsa-miR-134-5p	3	2	0	0	4	0	0	0	0	6	21	29	0	2	0	2	0	7	12	38	0	0	0	0	0	0	0	0	2	2	7	12	2	24	6	2	16	2	0	3	0	0	2	2	0	208.0
hsa-miR-320d	0	1	3	1	2	0	1	1	2	0	6	4	13	5	1	23	1	5	36	16	0	0	0	0	0	0	0	0	0	8	17	2	4	19	3	3	6	0	2	7	0	3	0	15	1	206.67999999999995
hsa-miR-6868-3p	10	6	0	0	0	0	0	0	0	0	18	19	2	3	17	2	7	2	5	8	0	0	0	0	0	0	0	0	11	4	5	0	0	0	12	37	11	0	0	0	0	2	0	15	8	204.0
hsa-miR-4677-3p	4	4	0	5	0	0	0	8	0	8	10	14	4	3	9	6	10	4	20	2	0	0	0	0	0	0	0	0	9	8	11	0	2	9	6	6	3	4	2	3	2	0	0	10	14	200.0
hsa-miR-598-3p	3	2	0	10	0	2	0	0	2	6	5	10	2	2	18	3	16	4	0	0	0	0	0	0	0	0	0	0	3	5	20	4	4	4	19	5	0	3	0	13	0	2	5	9	19	200.0
hsa-miR-381-3p	11	4	0	0	0	0	3	3	0	10	20	34	0	0	0	2	2	3	9	5	0	0	0	0	0	0	0	0	0	4	2	6	2	39	11	3	3	0	0	0	0	0	2	13	6	197.0
hsa-miR-1229-3p	3	2	0	0	0	0	6	7	5	0	6	2	2	9	12	10	4	6	25	19	0	0	0	0	0	0	0	0	0	8	7	3	13	6	5	6	6	0	7	2	0	0	6	5	4	196.0
hsa-miR-664a-5p	2	4	0	0	0	0	0	2	2	0	2	14	6	4	5	16	4	7	10	10	0	0	0	0	0	0	0	0	12	4	9	2	10	10	9	12	6	0	5	0	2	2	0	17	7	195.0
hsa-miR-24-2-5p	0	0	0	0	0	0	2	4	0	5	9	10	7	5	5	9	10	9	14	4	0	0	0	0	0	0	0	0	4	12	17	0	3	4	4	7	3	0	0	3	0	2	0	17	26	195.0
hsa-miR-6747-3p	2	0	0	0	0	0	2	2	7	2	4	11	4	4	32	13	4	9	18	10	0	0	0	0	0	0	0	0	2	9	8	2	16	4	2	6	2	0	0	4	0	0	2	2	8	191.0
hsa-miR-4511	2	0	2	0	0	0	0	5	0	5	5	4	0	2	7	4	7	5	19	8	0	0	0	0	0	0	0	0	13	7	16	11	2	12	12	12	3	3	0	0	0	0	0	13	11	190.0
hsa-miR-224-5p	0	2	0	0	0	0	0	0	2	0	4	7	11	6	14	2	5	9	16	5	0	0	0	0	0	0	0	0	12	18	17	26	5	6	5	3	0	0	0	0	0	0	0	4	5	184.0
hsa-miR-3133	4	0	5	9	0	4	0	0	0	7	7	9	2	6	5	12	3	3	16	0	0	0	0	0	0	0	0	0	10	12	5	9	6	6	7	7	0	4	2	4	0	5	6	4	4	183.0
hsa-miR-4521	4	5	2	0	0	8	0	0	0	6	15	11	5	0	7	5	4	0	11	6	0	0	0	0	0	0	0	0	2	0	12	0	7	6	9	10	5	0	9	3	0	4	0	11	15	182.0
hsa-miR-6783-3p	2	2	0	0	0	0	0	0	0	2	4	8	5	10	12	16	9	10	22	8	0	0	0	0	0	0	0	0	4	2	7	4	13	6	0	13	9	4	0	0	0	0	5	0	0	177.0
hsa-miR-582-3p	3	5	0	0	0	2	0	0	0	8	14	20	0	12	4	2	14	13	5	0	0	0	0	0	0	0	0	0	3	13	9	2	0	4	0	0	0	0	15	7	6	3	0	7	2	173.0
hsa-miR-874-3p	0	0	0	0	2	2	0	0	2	2	2	8	0	2	5	12	2	14	17	17	0	0	0	0	0	0	0	0	10	7	18	2	7	5	8	5	6	0	4	5	0	0	0	4	2	170.0
hsa-miR-30c-1-3p	2	4	0	3	3	2	2	0	0	4	4	3	6	7	2	12	6	4	10	2	0	0	0	0	0	0	0	0	2	22	5	0	10	11	2	12	0	2	6	4	0	4	2	5	0	163.0
hsa-miR-200a-3p	0	0	0	0	0	0	0	0	2	0	4	20	13	2	11	13	8	9	13	4	0	0	0	0	0	0	0	0	0	11	11	7	6	3	13	0	2	0	0	2	0	0	0	2	4	160.0
hsa-miR-4746-5p	2	0	0	0	0	0	0	2	5	0	4	4	0	6	7	9	7	0	17	4	0	0	0	0	0	0	0	0	4	6	5	5	5	14	15	10	4	0	0	2	0	2	2	6	11	158.0
hsa-miR-1270	0	0	0	2	3	0	3	0	7	5	0	0	11	3	0	5	2	11	7	8	0	0	0	0	0	0	0	0	2	4	10	5	6	2	14	21	2	0	0	6	0	2	0	7	8	156.0
hsa-miR-133a-3p	2	2	0	0	0	0	0	0	0	2	0	2	0	0	2	2	10	0	3	13	0	0	0	0	0	0	0	0	0	0	38	0	0	32	4	8	21	0	0	2	0	0	3	0	7	153.0
hsa-miR-5701	7	8	0	0	0	4	0	0	0	10	8	2	2	0	3	0	0	2	12	3	0	0	0	0	0	0	0	0	8	12	11	10	2	2	0	17	5	5	3	5	0	2	0	5	4	152.39999999999998
hsa-miR-30d-3p	2	4	0	0	0	0	0	0	2	3	9	27	5	2	4	8	5	3	0	3	0	0	0	0	0	0	0	0	2	8	2	4	3	2	3	8	2	3	0	8	0	5	0	12	13	152.0
hsa-miR-374a-3p	6	0	0	4	0	2	0	2	0	4	2	15	2	2	23	10	3	5	0	2	0	0	0	0	0	0	0	0	2	12	6	0	0	0	16	0	0	2	4	0	0	0	2	18	7	151.0
	sumhsa-miR-98-5p	43	23	28	29	3	12	10	41	37	134	43	66	43	24	73	122	97	42	44	52	0	0	0	0	0	0	0	0	139	141	119	32	94	101	325	163	39	46	86	67	6	20	42	232	149	2765.6
hsa-miR-4781-3p	2	4	0	2	0	5	0	0	0	3	7	8	0	8	2	8	3	2	20	0	0	0	0	0	0	0	0	0	2	2	19	4	2	2	9	17	0	0	2	3	2	4	0	6	0	148.0
hsa-miR-6861-3p	2	0	0	0	0	0	0	0	4	9	3	2	4	4	5	12	5	2	18	6	0	0	0	0	0	0	0	0	6	13	9	3	5	0	6	2	2	8	3	2	0	0	5	2	5	147.0
hsa-miR-6782-3p	4	0	0	0	2	7	2	0	0	2	0	2	2	10	0	6	0	0	19	6	0	0	0	0	0	0	0	0	3	2	6	0	12	5	9	17	2	0	7	5	0	2	0	11	4	147.0
hsa-miR-132-5p	0	0	0	2	0	0	0	2	3	0	0	7	3	2	7	11	2	0	5	4	0	0	0	0	0	0	0	0	0	5	5	9	10	10	20	20	7	0	2	6	0	0	0	3	2	147.0
hsa-miR-3130-5p	0	2	0	0	0	2	2	3	0	4	0	0	0	6	0	15	2	0	11	0	0	0	0	0	0	0	0	0	7	9	4	0	10	7	9	31	0	2	2	9	0	6	0	0	2	145.0
hsa-miR-1296-5p	3	5	0	0	0	2	0	0	0	5	11	10	5	9	4	9	8	4	4	2	0	0	0	0	0	0	0	0	0	13	7	0	6	9	11	0	0	0	6	3	0	0	0	4	3	143.0
hsa-miR-4646-3p	0	2	0	0	2	0	0	0	4	0	0	0	5	7	4	9	5	2	35	19	0	0	0	0	0	0	0	0	2	0	0	2	6	6	2	7	11	0	2	2	0	0	3	4	0	141.0
hsa-miR-1908-5p	0	0	0	0	2	0	0	0	5	0	5	0	21	6	10	5	6	0	19	11	0	0	0	0	0	0	0	0	2	0	0	2	14	5	2	7	3	0	0	6	0	0	0	6	2	139.0
hsa-miR-659-5p	0	2	0	2	0	3	0	2	0	2	0	4	0	7	0	3	0	7	13	9	0	0	0	0	0	0	0	0	3	9	15	0	6	10	7	8	2	0	5	2	0	3	0	12	0	136.0
hsa-miR-6859-3p	0	4	0	0	2	0	0	0	0	0	0	3	4	8	10	10	4	5	20	3	0	0	0	0	0	0	0	0	9	5	3	11	3	2	8	9	4	2	0	0	0	0	0	0	6	134.72000000000003
hsa-miR-3182	0	0	0	0	0	0	0	0	0	2	2	7	0	0	2	5	7	12	8	11	0	0	0	0	0	0	0	0	0	2	29	16	4	0	4	0	11	0	2	2	0	2	0	2	4	134.0
hsa-miR-204-5p	2	2	0	0	0	3	0	0	0	9	21	28	0	0	0	0	3	0	12	3	0	0	0	0	0	0	0	0	0	3	0	2	6	2	0	20	5	5	0	0	2	0	0	2	2	132.0
hsa-miR-6857-3p	0	2	0	0	0	0	0	0	0	4	5	4	5	6	6	4	9	3	9	7	0	0	0	0	0	0	0	0	7	9	0	2	7	2	11	15	2	2	2	0	0	2	0	0	3	128.0
hsa-miR-6799-3p	0	5	0	2	0	6	2	3	0	4	0	0	0	9	8	8	2	2	10	2	0	0	0	0	0	0	0	0	6	6	4	0	3	14	4	3	4	0	4	2	0	2	0	10	3	128.0
hsa-miR-150-3p	2	0	2	0	3	0	0	0	0	0	0	4	4	0	2	6	5	14	9	6	0	0	0	0	0	0	0	0	6	13	9	0	6	7	0	8	2	0	2	0	0	0	0	12	0	122.0
hsa-miR-338-5p	0	2	0	0	0	4	0	0	0	0	6	7	2	0	2	2	0	0	6	4	0	0	0	0	0	0	0	0	8	8	11	2	7	5	4	17	3	0	8	3	0	0	0	3	6	120.0
hsa-miR-363-5p	0	5	0	0	0	0	0	0	5	3	4	6	4	0	4	7	0	2	19	2	0	0	0	0	0	0	0	0	0	4	2	0	6	2	3	22	0	0	2	0	0	0	0	9	8	119.0
hsa-let-7f-2-3p	4	0	0	0	0	0	0	0	0	3	12	26	0	0	0	6	8	2	7	0	0	0	0	0	0	0	0	0	0	6	2	2	4	3	3	0	2	2	0	0	0	0	0	2	24	118.0
